img_id	description
461498	"robin, American robin, Turdus migratorius"
527891	"chest"
162309	"tow truck, tow car, wrecker"
435698	"cliff dwelling"
508504	"barber chair"
505705	"butcher shop, meat market"
423620	"altar"
576727	"impala, Aepyceros melampus"
099135	"Indian elephant, Elephas maximus"
045128	"lawn mower, mower"
115102	"television, television system"
067428	"jeep, landrover"
114340	"king crab, Alaska crab, Alaskan king crab, Alaska king crab, Paralithodes camtschatica"
438978	"airliner"
427895	"plane, carpenter's plane, woodworking plane"
085452	"folding chair"
418609	"fire engine, fire truck"
361332	"bald eagle, American eagle, Haliaeetus leucocephalus"
495258	"freight car"
256022	"ox"
051851	"washbasin, handbasin, washbowl, lavabo, wash-hand basin"
361339	"Angora, Angora rabbit"
516988	"tusker"
374372	"ox"
481648	"dishwasher, dish washer, dishwashing machine"
321907	"snorkel"
510756	"lawn mower, mower"
565946	"garbage truck, dustcart"
065420	"umbrella"
019399	"toyshop"
335766	"prison, prison house"
536290	"park bench"
387706	"cock"
354546	"sandbar, sand bar"
207074	"obelisk"
522411	"trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi"
368060	"bicycle-built-for-two, tandem bicycle, tandem"
366162	"washbasin, handbasin, washbowl, lavabo, wash-hand basin"
396688	"ice lolly, lolly, lollipop, popsicle"
574942	"ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus"
336230	"ski"
097660	"toyshop"
234000	"zebra"
351809	"plow, plough"
581657	"laptop, laptop computer"
328275	"acorn squash"
330241	"breakwater, groin, groyne, mole, bulwark, seawall, jetty"
058250	"street sign"
108101	"plow, plough"
324999	"tank, army tank, armored combat vehicle, armoured combat vehicle"
477749	"steam locomotive"
430428	"violin, fiddle"
565788	"medicine chest, medicine cabinet"
186198	"ski"
445900	"kimono"
147574	"traffic light, traffic signal, stoplight"
058597	"bell cote, bell cot"
279934	"suspension bridge"
366342	"fire engine, fire truck"
320963	"printer"
172036	"American black bear, black bear, Ursus americanus, Euarctos americanus"
408607	"tiger cat"
095753	"bathing cap, swimming cap"
128912	"medicine chest, medicine cabinet"
113415	"bison"
392949	"ambulance"
380586	"spatula"
475425	"cheeseburger"
272033	"electric locomotive"
246467	"alp"
424978	"plow, plough"
299441	"street sign"
121589	"umbrella"
123711	"terrapin"
023004	"sorrel"
187675	"traffic light, traffic signal, stoplight"
314450	"parachute, chute"
129656	"passenger car, coach, carriage"
439502	"corkscrew, bottle screw"
530592	"giant schnauzer"
461222	"snowplow, snowplough"
050954	"Granny Smith"
241530	"zebra"
465478	"head cabbage"
119320	"Labrador retriever"
506360	"four-poster"
157239	"racket, racquet"
483956	"steel drum"
363370	"dining table, board"
225372	"racket, racquet"
040954	"ski"
483175	"washbasin, handbasin, washbowl, lavabo, wash-hand basin"
497572	"shoe shop, shoe-shop, shoe store"
441640	"Model T"
424739	"lawn mower, mower"
239586	"Windsor tie"
218041	"fountain"
554809	"washbasin, handbasin, washbowl, lavabo, wash-hand basin"
258237	"racket, racquet"
510959	"sandbar, sand bar"
533509	"warplane, military plane"
482563	"Irish setter, red setter"
370512	"bow"
278692	"snowmobile"
487288	"butcher shop, meat market"
418620	"wok"
208773	"seashore, coast, seacoast, sea-coast"
189951	"parachute, chute"
308829	"pool table, billiard table, snooker table"
245717	"mailbox, letter box"
361088	"television, television system"
447994	"chest"
191439	"barbershop"
149555	"tricycle, trike, velocipede"
179034	"apiary, bee house"
131731	"American black bear, black bear, Ursus americanus, Euarctos americanus"
041056	"lab coat, laboratory coat"
308210	"pillow"
249618	"zucchini, courgette"
486328	"park bench"
320537	"harmonica, mouth organ, harp, mouth harp"
537968	"steel arch bridge"
411853	"pizza, pizza pie"
366599	"skunk, polecat, wood pussy"
107886	"plate"
489400	"broccoli"
183131	"bison"
409275	"orange"
031913	"football helmet"
531405	"tiger cat"
379399	"quilt, comforter, comfort, puff"
048493	"hourglass"
455665	"racket, racquet"
011256	"miniskirt, mini"
366383	"electric locomotive"
324626	"go-kart"
143900	"ice lolly, lolly, lollipop, popsicle"
486533	"banjo"
336107	"missile"
296385	"shoe shop, shoe-shop, shoe store"
564680	"guillotine"
061803	"water buffalo, water ox, Asiatic buffalo, Bubalus bubalis"
492399	"bow tie, bow-tie, bowtie"
480572	"microwave, microwave oven"
456666	"toaster"
093451	"gas pump, gasoline pump, petrol pump, island dispenser"
312072	"lorikeet"
254129	"maypole"
238105	"prison, prison house"
246267	"gazelle"
400410	"trifle"
171581	"Chesapeake Bay retriever"
430890	"airliner"
285755	"dalmatian, coach dog, carriage dog"
324406	"llama"
156849	"laptop, laptop computer"
455549	"stove"
104449	"refrigerator, icebox"
349401	"meerkat, mierkat"
402174	"warplane, military plane"
168067	"racket, racquet"
206680	"carousel, carrousel, merry-go-round, roundabout, whirligig"
128015	"knot"
003000	"can opener, tin opener"
311645	"reel"
491319	"hotdog, hot dog, red hot"
365565	"mountain bike, all-terrain bike, off-roader"
465211	"beer bottle"
433446	"plate"
219527	"teddy, teddy bear"
504065	"cab, hack, taxi, taxicab"
042345	"street sign"
323115	"studio couch, day bed"
152353	"orange"
005073	"parking meter"
375425	"sewing machine"
304590	"airliner"
417835	"ski"
271360	"golfcart, golf cart"
044928	"chest"
381684	"ram, tup"
047974	"studio couch, day bed"
294925	"African elephant, Loxodonta africana"
213970	"studio couch, day bed"
241421	"china cabinet, china closet"
202463	"toilet seat"
408345	"racket, racquet"
564990	"laptop, laptop computer"
014475	"teddy, teddy bear"
461787	"ski"
552135	"wreck"
158908	"shovel"
489072	"mashed potato"
572362	"umbrella"
012434	"snowmobile"
111889	"moped"
300615	"ostrich, Struthio camelus"
139551	"racket, racquet"
355231	"moped"
572923	"studio couch, day bed"
153674	"sewing machine"
548702	"stage"
119891	"vulture"
514888	"ox"
342132	"moving van"
555738	"llama"
138195	"speedboat"
010545	"trolleybus, trolley coach, trackless trolley"
469405	"computer keyboard, keypad"
396372	"violin, fiddle"
532175	"motor scooter, scooter"
296322	"pomegranate"
358748	"pretzel"
491778	"fountain"
241809	"backpack, back pack, knapsack, packsack, rucksack, haversack"
251723	"desktop computer"
441598	"safe"
241465	"laptop, laptop computer"
567633	"alp"
009712	"laptop, laptop computer"
476080	"home theater, home theatre"
379434	"stretcher"
135875	"running shoe"
252359	"shoe shop, shoe-shop, shoe store"
394666	"mashed potato"
510998	"lakeside, lakeshore"
141756	"padlock"
311683	"Lhasa, Lhasa apso"
343322	"amphibian, amphibious vehicle"
107424	"microwave, microwave oven"
271999	"electric locomotive"
311065	"accordion, piano accordion, squeeze box"
216757	"mitten"
206420	"dumbbell"
057362	"stretcher"
217859	"pool table, billiard table, snooker table"
224629	"web site, website, internet site, site"
247190	"Indian elephant, Elephas maximus"
366255	"chow, chow chow"
031838	"chow, chow chow"
003877	"bookshop, bookstore, bookstall"
013636	"standard schnauzer"
544035	"bison"
194262	"wall clock"
106952	"sandbar, sand bar"
305527	"football helmet"
007740	"moving van"
297990	"cheeseburger"
436833	"alp"
053369	"African elephant, Loxodonta africana"
219204	"toilet seat"
017583	"parachute, chute"
078572	"traffic light, traffic signal, stoplight"
446898	"fur coat"
461181	"electric locomotive"
363078	"pizza, pizza pie"
510211	"racket, racquet"
179805	"laptop, laptop computer"
480454	"triumphal arch"
182243	"manhole cover"
406047	"ski"
389182	"police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria"
352236	"traffic light, traffic signal, stoplight"
439107	"pirate, pirate ship"
529465	"crossword puzzle, crossword"
453087	"trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi"
487279	"hotdog, hot dog, red hot"
550097	"wreck"
539099	"pirate, pirate ship"
080386	"rotisserie"
239811	"bicycle-built-for-two, tandem bicycle, tandem"
272603	"bow"
206405	"doormat, welcome mat"
510405	"medicine chest, medicine cabinet"
496522	"black swan, Cygnus atratus"
208621	"parachute, chute"
335826	"pole"
523220	"piggy bank, penny bank"
180253	"wombat"
130685	"ski"
466247	"fur coat"
581409	"ballplayer, baseball player"
201358	"plate"
309024	"electric locomotive"
514269	"washbasin, handbasin, washbowl, lavabo, wash-hand basin"
230507	"soap dispenser"
213433	"ski"
446130	"street sign"
013302	"swimming trunks, bathing trunks"
362816	"orange"
233688	"unicycle, monocycle"
320838	"moped"
370152	"cellular telephone, cellular phone, cellphone, cell, mobile phone"
364522	"stretcher"
112793	"chainlink fence"
011075	"monitor"
377017	"doormat, welcome mat"
080091	"horse cart, horse-cart"
282730	"mailbox, letter box"
467384	"racket, racquet"
521334	"rotisserie"
429806	"assault rifle, assault gun"
283323	"fire engine, fire truck"
000127	"pretzel"
481893	"ambulance"
127450	"racer, race car, racing car"
415162	"snowmobile"
540799	"theater curtain, theatre curtain"
210816	"totem pole"
495553	"cheeseburger"
548958	"bagel, beigel"
395170	"laptop, laptop computer"
562745	"cheetah, chetah, Acinonyx jubatus"
487635	"airship, dirigible"
176038	"carbonara"
286953	"hotdog, hot dog, red hot"
434125	"monitor"
518293	"African elephant, Loxodonta africana"
506617	"bonnet, poke bonnet"
319735	"Italian greyhound"
388961	"turnstile"
116270	"altar"
133741	"zebra"
133615	"racket, racquet"
231572	"airliner"
517038	"kimono"
136384	"patio, terrace"
249676	"zebra"
541332	"washbasin, handbasin, washbowl, lavabo, wash-hand basin"
546093	"laptop, laptop computer"
516046	"shoe shop, shoe-shop, shoe store"
493056	"bell cote, bell cot"
516619	"Indian elephant, Elephas maximus"
396112	"table lamp"
568469	"breakwater, groin, groyne, mole, bulwark, seawall, jetty"
120067	"bison"
364228	"toyshop"
163485	"football helmet"
154621	"plate"
017392	"steel arch bridge"
084996	"home theater, home theatre"
487145	"plow, plough"
215984	"trombone"
441313	"stove"
241823	"ski"
075027	"miniskirt, mini"
470002	"llama"
075925	"park bench"
571695	"brown bear, bruin, Ursus arctos"
269360	"ski"
497522	"dock, dockage, docking facility"
368686	"cheetah, chetah, Acinonyx jubatus"
457861	"stethoscope"
197091	"toilet tissue, toilet paper, bathroom tissue"
521682	"street sign"
496078	"black swan, Cygnus atratus"
421491	"ballplayer, baseball player"
352925	"racket, racquet"
111002	"ram, tup"
409728	"Model T"
223401	"flamingo"
330041	"traffic light, traffic signal, stoplight"
188723	"wok"
251375	"sandbar, sand bar"
025872	"shower cap"
019236	"street sign"
030646	"toy poodle"
511848	"alp"
078509	"pajama, pyjama, pj's, jammies"
409658	"microwave, microwave oven"
462022	"plunger, plumber's helper"
118272	"racket, racquet"
372374	"overskirt"
504980	"cup"
446467	"electric locomotive"
394208	"plow, plough"
014954	"candle, taper, wax light"
027591	"quilt, comforter, comfort, puff"
271580	"apiary, bee house"
152265	"altar"
478841	"speedboat"
529715	"neck brace"
068287	"barbershop"
023976	"tusker"
221441	"palace"
023137	"space heater"
317274	"African elephant, Loxodonta africana"
458339	"toilet seat"
030647	"stone wall"
257102	"dining table, board"
160200	"orangutan, orang, orangutang, Pongo pygmaeus"
338963	"toilet seat"
569356	"motor scooter, scooter"
388940	"ballplayer, baseball player"
298481	"restaurant, eating house, eating place, eatery"
463680	"washer, automatic washer, washing machine"
329054	"ice lolly, lolly, lollipop, popsicle"
082124	"macaque"
111142	"oboe, hautboy, hautbois"
548351	"black-footed ferret, ferret, Mustela nigripes"
156682	"motor scooter, scooter"
014312	"theater curtain, theatre curtain"
104999	"studio couch, day bed"
514006	"minibus"
230727	"barbershop"
329469	"Model T"
002209	"parachute, chute"
328487	"trolleybus, trolley coach, trackless trolley"
174831	"lifeboat"
056715	"bookshop, bookstore, bookstall"
127603	"water bottle"
049741	"street sign"
058965	"ballplayer, baseball player"
275922	"maillot"
100506	"passenger car, coach, carriage"
413603	"standard poodle"
422300	"flagpole, flagstaff"
448607	"jigsaw puzzle"
321382	"park bench"
039120	"power drill"
029575	"hamper"
121869	"oxcart"
480239	"shower curtain"
423363	"mortarboard"
061527	"toilet tissue, toilet paper, bathroom tissue"
522110	"steam locomotive"
384049	"umbrella"
579729	"bicycle-built-for-two, tandem bicycle, tandem"
019428	"shower curtain"
087040	"paper towel"
496109	"four-poster"
200671	"racer, race car, racing car"
129108	"bicycle-built-for-two, tandem bicycle, tandem"
544059	"Rottweiler"
577589	"unicycle, monocycle"
149737	"pay-phone, pay-station"
347306	"baseball"
164044	"trolleybus, trolley coach, trackless trolley"
096328	"toilet seat"
567318	"cinema, movie theater, movie theatre, movie house, picture palace"
449758	"pool table, billiard table, snooker table"
578580	"Rottweiler"
279377	"cocker spaniel, English cocker spaniel, cocker"
033866	"teddy, teddy bear"
469431	"ski"
409489	"dishwasher, dish washer, dishwashing machine"
256930	"pitcher, ewer"
077154	"cinema, movie theater, movie theatre, movie house, picture palace"
067906	"American black bear, black bear, Ursus americanus, Euarctos americanus"
454814	"miniskirt, mini"
212429	"traffic light, traffic signal, stoplight"
339634	"broccoli"
220842	"stove"
301209	"seashore, coast, seacoast, sea-coast"
307656	"bow tie, bow-tie, bowtie"
579170	"rocking chair, rocker"
466913	"Irish setter, red setter"
499336	"groom, bridegroom"
135126	"black stork, Ciconia nigra"
279119	"moped"
353999	"fur coat"
029761	"trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi"
349698	"ballplayer, baseball player"
543084	"ski"
290645	"hoopskirt, crinoline"
578769	"four-poster"
048257	"balloon"
131735	"ski"
085488	"forklift"
251128	"tusker"
547524	"scale, weighing machine"
134294	"medicine chest, medicine cabinet"
248033	"sliding door"
229875	"bakery, bakeshop, bakehouse"
226145	"hognose snake, puff adder, sand viper"
055707	"pizza, pizza pie"
312420	"schipperke"
275556	"shoe shop, shoe-shop, shoe store"
150126	"Indian elephant, Elephas maximus"
065612	"barbershop"
480411	"military uniform"
399664	"airliner"
136565	"cowboy hat, ten-gallon hat"
063668	"fig"
094092	"barbell"
457521	"chainlink fence"
477438	"beagle"
041116	"electric locomotive"
470463	"bell cote, bell cot"
516220	"patio, terrace"
223499	"ox"
224263	"shopping cart"
029895	"llama"
325470	"refrigerator, icebox"
356788	"turnstile"
556222	"apiary, bee house"
119444	"bucket, pail"
139702	"zebra"
381017	"toy poodle"
170325	"mobile home, manufactured home"
335940	"computer keyboard, keypad"
497759	"notebook, notebook computer"
479443	"ice lolly, lolly, lollipop, popsicle"
418270	"conch"
545260	"laptop, laptop computer"
386009	"pizza, pizza pie"
252724	"zebra"
498156	"desktop computer"
538748	"bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis"
429289	"ram, tup"
446870	"pretzel"
575786	"pizza, pizza pie"
297517	"electric locomotive"
325014	"lab coat, laboratory coat"
162204	"park bench"
174211	"crutch"
255489	"ram, tup"
292876	"viaduct"
012833	"sliding door"
010728	"pizza, pizza pie"
529877	"ballplayer, baseball player"
116717	"mixing bowl"
491845	"desktop computer"
144831	"seashore, coast, seacoast, sea-coast"
342183	"ski"
151678	"Greater Swiss Mountain dog"
219300	"motor scooter, scooter"
454219	"maypole"
161996	"lumbermill, sawmill"
337177	"piggy bank, penny bank"
539041	"patio, terrace"
004159	"frying pan, frypan, skillet"
310853	"parachute, chute"
335144	"patio, terrace"
270740	"ballplayer, baseball player"
327328	"tiger cat"
004535	"oxcart"
565767	"dogsled, dog sled, dog sleigh"
000934	"Indian elephant, Elephas maximus"
381231	"ski"
325143	"grocery store, grocery, food market, market"
537909	"window shade"
003713	"ski"
217511	"llama"
287831	"ballplayer, baseball player"
526565	"African elephant, Loxodonta africana"
566583	"restaurant, eating house, eating place, eatery"
015156	"bell pepper"
469595	"wardrobe, closet, press"
244986	"moped"
161843	"rugby ball"
437102	"bookcase"
292730	"pool table, billiard table, snooker table"
038923	"motor scooter, scooter"
497701	"shower curtain"
574983	"zebra"
277263	"traffic light, traffic signal, stoplight"
021662	"flute, transverse flute"
273886	"pajama, pyjama, pj's, jammies"
498263	"flagpole, flagstaff"
128215	"park bench"
212602	"plate"
539844	"nipple"
085581	"barrow, garden cart, lawn cart, wheelbarrow"
130183	"computer keyboard, keypad"
072606	"trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi"
162654	"sarong"
579224	"squirrel monkey, Saimiri sciureus"
127100	"jinrikisha, ricksha, rickshaw"
067162	"jay"
179781	"bluetick"
241329	"moped"
364372	"Scotch terrier, Scottish terrier, Scottie"
303247	"barbershop"
421406	"acoustic guitar"
471113	"Walker hound, Walker foxhound"
324315	"umbrella"
014835	"wreck"
475551	"pizza, pizza pie"
134081	"brown bear, bruin, Ursus arctos"
417679	"flagpole, flagstaff"
210693	"broom"
010232	"plastic bag"
483557	"horse cart, horse-cart"
456042	"trolleybus, trolley coach, trackless trolley"
233938	"monitor"
458361	"moped"
121598	"teddy, teddy bear"
342092	"stone wall"
023162	"ox"
162046	"ambulance"
485800	"tractor"
499545	"park bench"
291560	"tricycle, trike, velocipede"
475915	"ballplayer, baseball player"
453070	"seashore, coast, seacoast, sea-coast"
205202	"banjo"
166880	"toilet seat"
144965	"ice lolly, lolly, lollipop, popsicle"
261673	"suit, suit of clothes"
239457	"passenger car, coach, carriage"
237315	"mountain bike, all-terrain bike, off-roader"
441379	"plow, plough"
545238	"meat loaf, meatloaf"
181756	"Norwich terrier"
355193	"capuchin, ringtail, Cebus capucinus"
222751	"ballplayer, baseball player"
247789	"acorn squash"
410173	"passenger car, coach, carriage"
460915	"four-poster"
056292	"EntleBucher"
183690	"seat belt, seatbelt"
160823	"totem pole"
403423	"pizza, pizza pie"
228784	"suspension bridge"
521762	"limousine, limo"
373905	"unicycle, monocycle"
120926	"hay"
308652	"apiary, bee house"
553908	"military uniform"
302470	"ski"
175805	"Chihuahua"
221446	"broccoli"
488764	"street sign"
248315	"kimono"
070322	"bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis"
250958	"monitor"
197265	"soap dispenser"
326210	"desk"
345797	"quilt, comforter, comfort, puff"
299055	"African elephant, Loxodonta africana"
452979	"bakery, bakeshop, bakehouse"
049770	"oxygen mask"
387401	"fire engine, fire truck"
119034	"palace"
471690	"racket, racquet"
557251	"shovel"
545209	"speedboat"
195968	"restaurant, eating house, eating place, eatery"
010890	"tow truck, tow car, wrecker"
067838	"assault rifle, assault gun"
038049	"ski"
531646	"maze, labyrinth"
308878	"missile"
448355	"traffic light, traffic signal, stoplight"
377019	"home theater, home theatre"
052324	"marimba, xylophone"
248478	"chest"
300277	"microwave, microwave oven"
416697	"soup bowl"
460254	"racket, racquet"
244928	"mountain tent"
314897	"seashore, coast, seacoast, sea-coast"
567079	"burrito"
134538	"orange"
171943	"groom, bridegroom"
265454	"streetcar, tram, tramcar, trolley, trolley car"
284664	"turnstile"
385178	"racket, racquet"
253764	"bell cote, bell cot"
057697	"ski"
017560	"guinea pig, Cavia cobaya"
374376	"miniature pinscher"
041079	"parachute, chute"
516273	"trifle"
436188	"unicycle, monocycle"
408492	"hyena, hyaena"
528372	"traffic light, traffic signal, stoplight"
043692	"web site, website, internet site, site"
549209	"shower curtain"
252614	"spotlight, spot"
311709	"bison"
076313	"entertainment center"
082106	"lab coat, laboratory coat"
280396	"horse cart, horse-cart"
098145	"teddy, teddy bear"
332039	"saltshaker, salt shaker"
038241	"forklift"
354111	"magpie"
073774	"vase"
509693	"ox"
267653	"tabby, tabby cat"
259960	"racket, racquet"
096130	"desk"
189789	"otter"
370391	"plate"
343815	"liner, ocean liner"
357301	"zebra"
205703	"bookshop, bookstore, bookstall"
412881	"streetcar, tram, tramcar, trolley, trolley car"
226383	"toilet seat"
294811	"seashore, coast, seacoast, sea-coast"
083448	"ox"
535460	"toyshop"
193901	"snowmobile"
435787	"tub, vat"
422185	"lion, king of beasts, Panthera leo"
252915	"photocopier"
164553	"hotdog, hot dog, red hot"
147782	"banana"
022041	"cup"
036968	"dishwasher, dish washer, dishwashing machine"
311022	"basketball"
258352	"patio, terrace"
497261	"ballplayer, baseball player"
498840	"toilet seat"
093287	"Irish wolfhound"
117313	"toilet seat"
572745	"boathouse"
319522	"bison"
361746	"wardrobe, closet, press"
408116	"tiger cat"
487467	"goose"
552354	"candle, taper, wax light"
112622	"quilt, comforter, comfort, puff"
321860	"barbershop"
452087	"shopping cart"
432865	"suspension bridge"
576290	"birdhouse"
120077	"traffic light, traffic signal, stoplight"
550845	"trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi"
232546	"barbershop"
507992	"can opener, tin opener"
060155	"trifle"
568050	"trolleybus, trolley coach, trackless trolley"
488731	"umbrella"
100975	"entertainment center"
179405	"llama"
105881	"studio couch, day bed"
409433	"jellyfish"
050972	"Saint Bernard, St Bernard"
377960	"vase"
205917	"grand piano, grand"
377816	"paddle, boat paddle"
398575	"patio, terrace"
524389	"pizza, pizza pie"
164634	"soccer ball"
007853	"water buffalo, water ox, Asiatic buffalo, Bubalus bubalis"
579567	"little blue heron, Egretta caerulea"
515064	"bow tie, bow-tie, bowtie"
281488	"microwave, microwave oven"
421341	"park bench"
100821	"unicycle, monocycle"
189915	"park bench"
327694	"Band Aid"
204461	"dock, dockage, docking facility"
434084	"crate"
230462	"refrigerator, icebox"
095891	"butternut squash"
148584	"lampshade, lamp shade"
122952	"freight car"
549499	"aircraft carrier, carrier, flattop, attack aircraft carrier"
004706	"coyote, prairie wolf, brush wolf, Canis latrans"
240278	"speedboat"
124935	"ballplayer, baseball player"
019060	"megalith, megalithic structure"
500954	"jinrikisha, ricksha, rickshaw"
434135	"Indian elephant, Elephas maximus"
500675	"palace"
082802	"plate"
520940	"water buffalo, water ox, Asiatic buffalo, Bubalus bubalis"
552584	"traffic light, traffic signal, stoplight"
225087	"military uniform"
223299	"football helmet"
236048	"bell cote, bell cot"
437607	"passenger car, coach, carriage"
137378	"dining table, board"
181554	"rugby ball"
033172	"oboe, hautboy, hautbois"
385589	"zebra"
579524	"matchstick"
043071	"ski"
457274	"racket, racquet"
528621	"snowmobile"
061052	"hay"
119849	"laptop, laptop computer"
165200	"racket, racquet"
323599	"harp"
271120	"medicine chest, medicine cabinet"
179698	"monastery"
526592	"horse cart, horse-cart"
446069	"Indian elephant, Elephas maximus"
320329	"pug, pug-dog"
190798	"toilet seat"
430101	"window shade"
336991	"pot, flowerpot"
361256	"schooner"
113593	"recreational vehicle, RV, R.V."
489918	"steam locomotive"
366927	"street sign"
407814	"electric locomotive"
469545	"ballplayer, baseball player"
534898	"head cabbage"
393989	"vase"
564513	"suspension bridge"
494968	"motor scooter, scooter"
494599	"hand blower, blow dryer, blow drier, hair dryer, hair drier"
028167	"redshank, Tringa totanus"
401743	"ballplayer, baseball player"
268682	"pizza, pizza pie"
260398	"ear, spike, capitulum"
567972	"ski"
485306	"abaya"
554367	"African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus"
516119	"neck brace"
103582	"chest"
419772	"drilling platform, offshore rig"
476468	"go-kart"
127391	"four-poster"
528449	"drumstick"
129648	"killer whale, killer, orca, grampus, sea wolf, Orcinus orca"
369575	"barber chair"
496478	"fur coat"
411856	"passenger car, coach, carriage"
042858	"parachute, chute"
375926	"pizza, pizza pie"
135229	"ski"
084536	"standard poodle"
004673	"cheeseburger"
361618	"medicine chest, medicine cabinet"
524991	"zebra"
454857	"bell cote, bell cot"
420049	"unicycle, monocycle"
246528	"cello, violoncello"
539767	"thresher, thrasher, threshing machine"
295461	"electric locomotive"
502606	"chimpanzee, chimp, Pan troglodytes"
068914	"trolleybus, trolley coach, trackless trolley"
522819	"goblet"
275694	"airliner"
320471	"mashed potato"
419644	"wok"
529308	"pizza, pizza pie"
527228	"wreck"
246016	"crib, cot"
104977	"ice lolly, lolly, lollipop, popsicle"
192574	"computer keyboard, keypad"
139698	"scabbard"
306544	"megalith, megalithic structure"
410731	"greenhouse, nursery, glasshouse"
